1760 480

1 117.92207;37.66459
2 117.92381;37.66487
3 117.92499;37.66493
4 117.92624;37.66517
5 117.92748;37.66530
6 117.92877;37.66547
7 117.92997;37.66564
8 117.93128;37.66581
9 117.93248;37.66598
10 117.93377;37.66613
11 117.93516;37.66628
12 117.93600;37.66633
13 117.93735;37.66637
14 117.93872;37.66654
15 117.94010;37.66675
16 117.94130;37.66680
17 117.94259;37.66690
18 117.94383;37.66706
19 117.94508;37.66699

// ¹ÜµÀµã
1.117.91929;37.66426 117.91828;37.66580  117.91800;37.66862
2.117.91963;37.66422  117.91929;37.66907
3. 117.92101;37.66439  117.92058;37.66924
4.117.92210;37.66450   117.92167;37.66937
5.117.92373;37.66473  117.92287;37.66962
6.117.92489;37.66486  117.92401;37.66984
7.117.92618;37.66507   117.92519;37.67007
8.117.92742;37.66520 117.92648;37.67025
9.117.92871;37.66535  117.92777;37.67040
10.117.92991;37.66553 117.92897;37.67057
11.117.93120;37.66563  117.93026;37.67070
12.117.93244;37.66585 117.93150;37.67083
13.117.93371;37.66606 117.93274;37.67108
14.117.93506;37.66623 117.93412;37.67125
15.117.93601;37.66628 117.93536;37.67160
16.117.93729;37.66632 117.93669;37.67177
17.117.93871;37.66647 117.93789;37.67203
18.117.94000;37.66662 117.93927;37.67203
19.117.94120;37.66675 117.94056;37.67228
20.117.94249;37.66683 117.94184;37.67228
21.117.94382;37.66698 117.94304;37.67241
22.117.94506;37.66705 117.94429;37.67293
23.117.94504;37.66707 117.94596;37.66919 117.94553;37.67289
